,0,1,2
1241,32,38,36
1242,34,42,39
1243,34,42,39
1244,31,42,40
1245,31,42,40
1246,34,42,39
1247,33,41,38
1248,34,38,33
1249,32,36,31
1250,31,34,35
1251,34,37,38
1252,32,40,41
1253,32,40,41
1254,29,37,36
1255,29,37,36
1256,33,39,37
1257,35,41,39
1258,34,40,38
1259,34,40,38
1260,36,39,38
1261,35,38,37
1262,37,40,39
1263,37,40,39
1264,36,40,35
1265,37,41,36
1266,35,42,36
1267,30,37,31
1268,28,37,30
1269,32,41,34
1270,36,40,35
1271,35,39,34
1272,39,39,35
1273,39,39,35
1274,40,40,36
1275,41,41,37
1276,39,39,33
1277,38,38,32
1278,40,37,32
1279,42,39,34
